product,product_category,warehouse_dist_km,product_weight_kg,shipment_mode,warehouse_processing_time_days,demand_forecast_unit,shipping_cost,delivery_time_days
Smart Watch,Gadgets,1366.16,4.79,Air,3,621,392.98,5
SSD,Storage,825.76,0.84,Air,4,2268,175.65,5
Headphones,Accessories,1975.58,0.44,Road,2,2602,191.77,8
Tablet,Electronics,1257.84,1.04,Road,2,4529,130.74,6
Refrigerator,Home Appliances,1789.65,26.76,Road,3,1110,653.49,8
SSD,Storage,1233.76,0.33,Air,4,2338,250.88,6
Smart Watch,Gadgets,2230.37,2.71,Air,1,1949,513.82,5
Camera,Gadgets,2077.67,3.11,Road,4,550,236.78,10
SSD,Storage,1075.52,0.7,Air,5,1494,223.85,7
Smart Watch,Gadgets,1685.79,1.1,Air,2,1601,364.66,5
SSD,Storage,1522.69,0.84,Air,4,1630,315.04,7
Refrigerator,Home Appliances,1884.32,33.18,Road,3,705,778.13,8
TV,Home Appliances,717.54,40.07,Road,2,823,790.14,4
Monitor,Electronics,1543.03,1.66,Road,3,3303,164.07,7
SSD,Storage,1729.21,1.26,Rail,5,1057,144.64,11
SSD,Storage,320.63,0.98,Road,4,1786,36.66,5
Headphones,Accessories,608.37,2.91,Air,4,6717,150.77,5
Speaker,Accessories,180.38,1.25,Rail,4,4990,19.43,5
Mobile Phone,Electronics,1065.3,2.57,Road,5,1610,126.94,8
TV,Home Appliances,1558.77,18.9,Road,1,1037,489.84,5
Microwave,Home Appliances,1951.18,40.93,Road,2,1066,924.05,8
Microwave,Home Appliances,1237.05,31.35,Rail,5,1020,569.21,10
Smart Watch,Gadgets,2014.31,4.64,Rail,4,2726,207.54,11
Tablet,Electronics,509.95,2.96,Rail,5,4113,64.48,7
Laptop,Electronics,348.31,3.19,Road,3,2181,64.06,4
Camera,Gadgets,1172.23,2.95,Road,4,1858,147.93,7
Microwave,Home Appliances,1392.03,8.55,Air,5,1262,599.03,7
Smart Watch,Gadgets,1183.65,3.53,Air,3,2102,324.98,5
TV,Home Appliances,166.28,38.61,Rail,3,250,592.45,4
Microwave,Home Appliances,1155.44,23.36,Rail,1,437,442.84,5
Speaker,Accessories,547.77,1.07,Road,2,6268,57.72,4
Refrigerator,Home Appliances,1534.84,32.76,Road,4,853,737.02,8
Tablet,Electronics,1383.3,0.66,Road,1,4978,139.13,5
Hard Drive,Storage,730.06,1.08,Air,2,2613,159.51,3
Mouse,Accessories,943.07,1.13,Road,4,3899,95.96,7
TV,Home Appliances,670.39,17.59,Road,4,1010,380.98,6
Mobile Phone,Electronics,1168.66,2.07,Road,1,4386,132.06,4
Mouse,Accessories,1677.57,0.98,Road,1,6729,165.75,6
Mobile Phone,Electronics,707.14,1.78,Air,1,2574,177.03,2
TV,Home Appliances,1452.02,58.23,Road,4,1451,1187.53,8
TV,Home Appliances,934.87,13.94,Air,4,1464,709.72,6
Speaker,Accessories,803.56,2.77,Road,2,4565,90.44,4
Mobile Phone,Electronics,1146.48,1.57,Air,2,3592,260.7,4
Refrigerator,Home Appliances,682.38,39.01,Rail,4,580,639.74,7
TV,Home Appliances,923.18,35.94,Sea,2,1336,490.36,7
Headphones,Accessories,601.06,1.01,Air,4,2439,130.31,5
Hard Drive,Storage,2182.36,0.83,Air,4,2800,446.85,8
Smart Watch,Gadgets,1217.63,2.63,Road,4,2318,148.45,7
Microwave,Home Appliances,850.14,12.3,Air,2,798,631.28,3
Tablet,Electronics,1306.99,1.29,Air,4,3816,287.2,6
TV,Home Appliances,1143.84,34.56,Rail,3,1312,609.91,7
Hard Drive,Storage,1089.52,1.19,Road,2,2241,111.73,5
Mobile Phone,Electronics,1507.08,1.54,Rail,4,2576,132.89,10
Hard Drive,Storage,1578.75,0.77,Rail,2,1359,130.15,8
Smart Watch,Gadgets,934.75,1.95,Road,4,1179,113.14,7
Camera,Gadgets,912.09,3.99,Rail,1,2835,112.87,4
SSD,Storage,1062.47,0.98,Air,3,1685,224.74,5
Drone,Gadgets,50.0,4.78,Road,1,1055,62.16,1
Microwave,Home Appliances,442.4,59.61,Sea,2,471,743.63,5
Mouse,Accessories,1883.44,2.19,Rail,4,6009,159.44,11
Speaker,Accessories,2022.48,1.96,Air,1,2762,424.1,4
TV,Home Appliances,1075.48,46.99,Rail,3,1131,790.89,7
Refrigerator,Home Appliances,1488.28,38.26,Sea,1,1138,554.37,10
Hard Drive,Storage,1355.63,1.23,Air,4,1367,286.5,6
Refrigerator,Home Appliances,2739.44,24.79,Air,5,1383,1477.51,10
Headphones,Accessories,1759.79,2.41,Rail,1,2376,150.42,8
Monitor,Electronics,1136.04,0.56,Rail,2,3307,95.36,6
Microwave,Home Appliances,722.23,59.58,Road,2,818,1141.77,4
Speaker,Accessories,396.78,0.46,Air,1,5046,83.96,2
Keyboard,Accessories,1301.73,1.31,Air,2,5516,273.45,4
Laptop,Electronics,821.82,0.5,Road,2,3931,83.69,4
Headphones,Accessories,488.87,0.23,Road,1,5459,48.04,2
Headphones,Accessories,876.71,0.4,Air,1,2845,179.34,3
SSD,Storage,659.23,1.35,Air,2,1085,148.72,3
Laptop,Electronics,2043.57,2.64,Air,3,4459,461.51,7
Mouse,Accessories,1640.82,2.78,Road,4,3779,170.86,9
Laptop,Electronics,1196.01,0.99,Air,4,2939,259.0,6
Refrigerator,Home Appliances,1939.97,49.14,Road,1,708,1070.76,7
Smart Watch,Gadgets,1238.68,3.12,Road,1,1735,156.35,5
Mouse,Accessories,769.36,2.29,Air,1,3960,176.77,2
Refrigerator,Home Appliances,1961.56,13.86,Road,5,345,437.79,11
Camera,Gadgets,1469.46,4.94,Rail,2,2084,166.96,7
Drone,Gadgets,681.38,2.02,Road,4,798,89.65,6
Laptop,Electronics,1104.83,0.55,Air,1,4732,231.97,3
TV,Home Appliances,762.19,22.9,Road,4,1067,485.37,6
Microwave,Home Appliances,508.6,41.31,Rail,2,768,660.34,4
Tablet,Electronics,1663.09,0.78,Rail,2,3697,139.29,8
SSD,Storage,2154.71,0.96,Road,1,1770,212.61,7
TV,Home Appliances,500.72,57.58,Road,2,376,1084.51,3
Microwave,Home Appliances,1481.48,31.58,Rail,3,559,592.22,9
Laptop,Electronics,874.68,2.98,Road,2,3533,112.58,4
SSD,Storage,956.44,0.42,Air,3,983,196.54,5
Tablet,Electronics,903.8,3.32,Air,1,2577,247.16,3
Smart Watch,Gadgets,768.0,0.66,Road,3,727,81.65,5
TV,Home Appliances,1224.26,16.68,Air,1,1375,870.35,3
Mobile Phone,Electronics,784.52,3.09,Air,1,2501,218.7,2
Monitor,Electronics,1335.23,1.77,Rail,2,1644,120.98,7
Smart Watch,Gadgets,1174.88,3.78,Road,3,1516,158.15,6
TV,Home Appliances,1080.53,24.64,Rail,5,963,456.04,9
Laptop,Electronics,746.22,1.13,Rail,1,3142,68.74,4
Monitor,Electronics,911.61,3.53,Road,3,2840,121.4,6
Monitor,Electronics,1577.7,0.53,Air,5,4713,326.14,8
Hard Drive,Storage,1450.46,0.8,Road,4,1300,144.04,8
Camera,Gadgets,711.22,1.01,Rail,1,1454,67.0,4
Drone,Gadgets,1249.67,3.29,Road,1,1872,159.45,5
Monitor,Electronics,1575.69,3.47,Road,1,2340,184.58,6
Camera,Gadgets,365.3,2.27,Rail,2,1646,51.92,3
Laptop,Electronics,1471.68,3.72,Rail,5,3191,147.49,10
SSD,Storage,868.69,1.47,Air,1,2570,192.11,2
Headphones,Accessories,1485.3,0.41,Road,4,3070,144.56,8
Speaker,Accessories,818.37,0.93,Air,4,4672,172.97,5
SSD,Storage,297.56,0.55,Air,2,1057,66.39,3
Camera,Gadgets,386.23,1.03,Air,4,1786,103.0,5
Microwave,Home Appliances,1224.04,35.87,Sea,2,1125,508.78,9
SSD,Storage,1329.86,0.54,Air,2,1746,272.72,4
Camera,Gadgets,747.84,1.31,Rail,2,873,72.93,5
Speaker,Accessories,1519.3,1.31,Air,3,4131,316.96,6
Keyboard,Accessories,369.24,2.87,Rail,5,6506,41.02,6
Keyboard,Accessories,1166.96,1.49,Rail,2,2994,99.32,6
Laptop,Electronics,594.49,3.41,Rail,2,2311,74.84,4
Refrigerator,Home Appliances,874.08,43.69,Sea,1,1392,580.22,6
Drone,Gadgets,1223.7,4.61,Air,1,1309,359.99,3
Microwave,Home Appliances,769.79,12.78,Rail,3,450,253.28,6
Monitor,Electronics,1007.72,0.68,Rail,4,4865,86.06,8
Refrigerator,Home Appliances,1703.15,9.53,Road,2,924,335.04,7
Mouse,Accessories,911.55,0.97,Road,2,2283,92.16,5
Smart Watch,Gadgets,1617.85,3.2,Road,4,2187,193.71,9
Drone,Gadgets,635.15,0.59,Air,2,2217,141.78,3
Mouse,Accessories,1464.9,1.97,Rail,1,5133,125.07,6
SSD,Storage,1920.78,0.91,Road,5,2557,189.85,10
SSD,Storage,50.0,0.55,Air,5,1397,16.88,5
Tablet,Electronics,801.55,0.71,Rail,5,2964,69.8,8
Camera,Gadgets,1488.54,4.88,Air,2,1591,419.71,5
Smart Watch,Gadgets,1098.48,0.56,Rail,2,2858,93.48,6
Refrigerator,Home Appliances,1385.57,56.63,Sea,2,560,768.24,10
Speaker,Accessories,898.01,2.46,Road,5,2231,98.02,8
Hard Drive,Storage,1243.29,0.93,Air,4,2720,260.28,6
Hard Drive,Storage,1122.16,0.84,Air,2,2964,234.93,4
Keyboard,Accessories,1783.89,1.67,Air,5,3650,373.48,8
Speaker,Accessories,1327.21,2.21,Rail,3,2487,115.02,8
Mobile Phone,Electronics,1368.8,2.55,Rail,1,4967,129.9,6
Drone,Gadgets,994.06,4.81,Air,4,2900,319.06,6
Tablet,Electronics,956.2,1.56,Air,2,4499,222.44,4
TV,Home Appliances,983.72,57.95,Rail,2,1350,947.95,6
Drone,Gadgets,1397.23,1.35,Road,2,2049,150.33,6
SSD,Storage,989.51,0.37,Road,5,2103,97.21,8
Camera,Gadgets,1344.89,1.16,Air,5,1404,297.98,7
Camera,Gadgets,2237.7,4.7,Air,1,1474,565.04,5
SSD,Storage,1635.56,0.42,Rail,1,1875,132.94,7
Microwave,Home Appliances,1036.99,21.79,Air,1,917,1024.52,3
Hard Drive,Storage,1800.61,1.14,Air,4,2218,374.37,7
Headphones,Accessories,995.96,1.58,Air,5,5074,214.99,7
Monitor,Electronics,180.94,3.26,Road,2,2166,48.67,3
Microwave,Home Appliances,695.96,49.56,Road,1,852,958.89,3
Hard Drive,Storage,264.6,0.3,Air,4,1159,56.67,4
Laptop,Electronics,1024.24,1.68,Rail,4,4385,95.38,8
Monitor,Electronics,1209.21,3.8,Air,4,2143,317.84,6
Laptop,Electronics,2038.22,1.66,Rail,4,4355,176.34,12
Smart Watch,Gadgets,1363.46,4.65,Road,3,1718,186.69,7
Keyboard,Accessories,1090.45,0.34,Road,4,3258,106.32,7
Tablet,Electronics,1614.7,0.51,Air,5,3467,333.14,8
Keyboard,Accessories,94.43,0.27,Air,3,2671,21.59,3
Microwave,Home Appliances,1317.81,24.03,Air,4,742,1164.69,6
Monitor,Electronics,1585.43,1.15,Rail,3,2264,136.03,9
Microwave,Home Appliances,460.71,21.69,Road,2,750,434.65,3
Camera,Gadgets,1771.88,1.01,Road,1,851,182.22,6
SSD,Storage,1369.25,1.46,Road,5,749,140.21,9
TV,Home Appliances,992.36,29.77,Rail,4,1372,525.94,8
Headphones,Accessories,1516.39,1.04,Air,1,6113,313.68,4
Smart Watch,Gadgets,2335.35,4.06,Road,5,1103,272.91,12
Monitor,Electronics,1290.93,1.11,Rail,2,4811,112.15,7
Mouse,Accessories,1324.11,0.32,Air,4,3654,268.02,6
Speaker,Accessories,970.32,1.1,Road,1,2712,98.43,4
TV,Home Appliances,775.08,28.66,Road,3,1264,590.29,5
Microwave,Home Appliances,1615.17,48.9,Rail,5,1059,862.71,11
Monitor,Electronics,771.96,1.02,Road,5,4606,83.9,7
Laptop,Electronics,1235.78,2.47,Air,3,3693,296.56,5
SSD,Storage,961.17,0.54,Road,5,2994,95.51,8
Microwave,Home Appliances,1439.49,16.95,Road,5,1446,443.29,9
Microwave,Home Appliances,1366.83,28.58,Sea,2,300,430.44,10
Refrigerator,Home Appliances,1718.77,54.65,Road,3,836,1148.7,8
SSD,Storage,944.99,1.32,Road,2,1050,98.64,5
SSD,Storage,1065.06,1.21,Air,4,2977,228.14,6
Mobile Phone,Electronics,710.62,2.05,Rail,4,4534,73.25,7
TV,Home Appliances,977.85,53.09,Rail,5,525,874.58,9
Tablet,Electronics,1388.65,2.98,Road,5,3829,161.92,9
Mobile Phone,Electronics,1578.49,1.17,Rail,1,2521,135.64,7
Monitor,Electronics,738.92,0.68,Air,2,2622,161.38,3
SSD,Storage,1634.8,0.86,Road,1,625,162.1,6
Speaker,Accessories,1877.82,1.57,Road,4,6807,187.81,9
Drone,Gadgets,1406.72,1.92,Rail,3,870,131.74,8
Hard Drive,Storage,2138.4,0.7,Air,5,1377,436.43,9
Mouse,Accessories,813.11,2.1,Air,4,6204,183.62,5
Laptop,Electronics,577.67,2.16,Air,2,3962,158.73,3
Mobile Phone,Electronics,310.64,1.38,Rail,3,4419,35.89,4
SSD,Storage,1948.02,1.36,Rail,4,1532,162.64,11
Headphones,Accessories,1527.18,1.05,Road,5,5253,151.65,9
Camera,Gadgets,1172.21,0.33,Rail,3,2799,97.08,7
Smart Watch,Gadgets,1339.98,1.63,Road,4,761,148.2,8
SSD,Storage,637.26,1.03,Rail,3,1723,56.13,5
Mouse,Accessories,2422.88,1.65,Air,1,6915,501.08,5
TV,Home Appliances,1264.61,24.62,Air,1,1218,1176.17,3
SSD,Storage,1254.7,1.38,Road,1,2888,128.73,5
Camera,Gadgets,1562.88,1.91,Road,5,2448,172.96,9
SSD,Storage,1440.5,1.3,Rail,5,1241,121.74,10
Hard Drive,Storage,1311.94,0.81,Road,5,1249,130.81,9
Hard Drive,Storage,804.76,0.49,Air,3,2222,167.08,4
SSD,Storage,1435.73,0.54,Air,1,2427,293.9,3
Laptop,Electronics,2141.01,2.15,Air,1,4288,471.2,5
TV,Home Appliances,1872.71,23.51,Air,2,481,1256.17,5
Speaker,Accessories,1996.59,1.35,Road,4,3173,198.15,10
Hard Drive,Storage,944.39,1.21,Road,2,1783,97.92,5
Laptop,Electronics,705.2,2.08,Air,2,3860,182.64,3
Headphones,Accessories,1137.11,2.4,Road,2,5552,120.68,5
Refrigerator,Home Appliances,1227.86,30.31,Road,1,277,663.45,5
Camera,Gadgets,1747.1,3.73,Rail,3,2675,177.07,9
Keyboard,Accessories,353.77,2.09,Road,2,3853,43.99,3
SSD,Storage,1964.78,0.37,Air,5,1753,397.58,8
Keyboard,Accessories,1121.0,2.51,Air,3,5734,249.3,5
Smart Watch,Gadgets,986.56,2.76,Road,2,1903,127.83,5
Refrigerator,Home Appliances,693.95,47.01,Road,4,239,912.8,6
Mouse,Accessories,372.57,2.24,Air,1,6830,96.91,2
Camera,Gadgets,1611.59,0.88,Road,1,2036,165.27,6
Hard Drive,Storage,1236.66,0.97,Air,1,580,259.46,3
Laptop,Electronics,555.02,1.96,Air,5,2535,150.2,6
TV,Home Appliances,552.46,15.96,Road,1,816,340.32,3
TV,Home Appliances,1032.11,13.25,Road,5,1440,337.58,8
Headphones,Accessories,2034.51,2.53,Air,5,2964,432.2,8
Hard Drive,Storage,1070.2,1.22,Road,5,1318,110.06,8
Hard Drive,Storage,448.43,0.67,Road,2,661,47.07,3
Drone,Gadgets,1077.13,4.58,Road,4,1854,158.36,7
Keyboard,Accessories,1063.64,0.24,Air,1,6703,215.13,3
Microwave,Home Appliances,50.0,57.37,Rail,1,407,864.55,1
Hard Drive,Storage,1172.85,0.79,Rail,3,2401,97.78,7
Laptop,Electronics,1084.53,3.35,Rail,3,2975,113.56,7
SSD,Storage,1548.1,1.16,Air,1,539,324.12,4
Mouse,Accessories,2124.48,1.12,Rail,5,4197,174.44,13
Tablet,Electronics,1763.28,3.35,Air,4,3139,419.66,7
Refrigerator,Home Appliances,1065.56,51.46,Rail,4,1063,857.14,8
Keyboard,Accessories,646.74,0.57,Road,2,2849,64.82,4
TV,Home Appliances,2486.68,33.1,Rail,4,571,695.43,13
Drone,Gadgets,1229.61,3.96,Road,2,2478,165.56,6
Microwave,Home Appliances,1206.96,54.15,Road,1,735,1090.57,4
Hard Drive,Storage,1187.94,1.12,Road,5,2814,120.76,8
Speaker,Accessories,1299.04,1.65,Road,5,2780,132.63,9
TV,Home Appliances,1127.82,45.79,Road,4,504,932.49,7
Smart Watch,Gadgets,913.17,0.56,Road,2,2570,94.38,5
Refrigerator,Home Appliances,926.57,53.21,Road,4,856,1046.73,7
Speaker,Accessories,1183.62,2.92,Air,2,6509,265.92,4
Refrigerator,Home Appliances,928.29,50.49,Road,4,1373,997.94,7
Microwave,Home Appliances,843.58,52.54,Road,1,1218,1026.7,3
Laptop,Electronics,1253.22,1.91,Air,5,1500,288.84,7
Tablet,Electronics,1072.51,3.62,Road,4,2896,137.71,7
Hard Drive,Storage,1952.0,1.26,Rail,3,2794,162.46,10
Smart Watch,Gadgets,50.0,2.52,Road,4,967,35.04,4
Mobile Phone,Electronics,1745.75,0.51,Air,3,3743,359.35,6
Drone,Gadgets,1823.04,3.6,Air,2,2516,454.61,5
Headphones,Accessories,163.3,0.5,Road,2,2989,18.08,2
Microwave,Home Appliances,1028.66,31.77,Rail,3,420,558.84,7
Microwave,Home Appliances,1014.28,56.18,Rail,5,452,923.84,9
Refrigerator,Home Appliances,496.24,42.24,Sea,2,1221,538.64,5
Laptop,Electronics,811.09,2.44,Road,5,3478,101.29,7
Camera,Gadgets,644.71,3.55,Air,2,924,217.69,3
TV,Home Appliances,2076.14,39.23,Sea,5,987,603.63,17
TV,Home Appliances,1667.84,55.63,Rail,3,1014,967.88,9
SSD,Storage,1835.78,0.79,Air,4,2967,377.03,7
Drone,Gadgets,1560.84,4.26,Road,3,2767,200.96,7
Mouse,Accessories,635.47,0.79,Road,3,3086,64.8,5
Speaker,Accessories,937.74,2.19,Road,5,5935,100.54,8
Smart Watch,Gadgets,1444.69,4.73,Road,5,1671,195.45,9
Microwave,Home Appliances,588.94,35.18,Road,2,308,689.78,4
Mobile Phone,Electronics,1556.5,1.43,Road,3,4299,163.15,7
Hard Drive,Storage,1079.84,1.29,Road,3,1335,111.4,6
Camera,Gadgets,1012.59,1.99,Road,5,2801,121.09,8
Headphones,Accessories,1555.48,0.87,Road,3,2384,153.5,7
Refrigerator,Home Appliances,1422.13,29.66,Rail,3,1330,558.67,8
Laptop,Electronics,1019.52,3.1,Air,4,4899,265.9,6
Speaker,Accessories,1779.66,2.31,Road,5,3609,181.94,10
Speaker,Accessories,659.47,1.46,Rail,1,3531,58.6,3
Keyboard,Accessories,1507.97,1.26,Road,5,4164,150.81,9
Mouse,Accessories,1496.55,1.84,Air,3,5820,317.71,6
Keyboard,Accessories,1045.23,0.63,Air,1,4467,215.35,3
TV,Home Appliances,1363.07,36.61,Road,3,1276,789.83,7
Mouse,Accessories,574.44,1.66,Road,2,5407,63.11,4
Smart Watch,Gadgets,1662.01,2.2,Air,2,1859,387.4,5
SSD,Storage,1107.55,0.58,Rail,5,2672,91.5,9
TV,Home Appliances,938.64,50.83,Sea,1,434,670.03,6
SSD,Storage,1724.5,0.51,Road,5,1498,168.61,10
Tablet,Electronics,847.83,1.83,Road,1,3080,98.96,3
SSD,Storage,495.77,0.23,Road,3,2606,48.97,4
Drone,Gadgets,421.69,2.59,Air,2,1812,149.09,3
Camera,Gadgets,1503.0,4.76,Air,5,2684,419.6,8
Laptop,Electronics,559.79,1.24,Road,2,4307,65.64,4
Microwave,Home Appliances,2077.4,18.69,Rail,4,347,446.54,12
Keyboard,Accessories,159.04,1.49,Air,1,2600,46.71,1
Mobile Phone,Electronics,2048.23,3.28,Road,5,4865,228.12,11
Speaker,Accessories,1305.51,1.34,Road,4,5547,131.76,8
Hard Drive,Storage,1151.64,0.71,Air,1,759,239.2,3
Camera,Gadgets,927.54,3.59,Air,5,934,275.26,7
SSD,Storage,1399.57,0.99,Air,4,2062,292.29,6
TV,Home Appliances,1181.18,9.6,Air,2,479,596.24,4
TV,Home Appliances,1751.65,23.34,Road,3,964,588.28,8
Mobile Phone,Electronics,1257.11,0.93,Air,5,3114,270.02,7
Smart Watch,Gadgets,1275.15,4.75,Air,3,1367,373.78,5
TV,Home Appliances,1018.19,52.28,Road,2,652,1038.79,5
Drone,Gadgets,1171.53,1.21,Air,5,722,264.56,7
Drone,Gadgets,1353.9,3.33,Air,1,1526,354.03,3
Mobile Phone,Electronics,344.92,3.04,Road,3,2962,62.3,4
Mouse,Accessories,525.91,0.48,Road,2,4603,52.79,4
Refrigerator,Home Appliances,1571.63,25.07,Rail,5,512,501.78,11
Smart Watch,Gadgets,1285.43,2.01,Air,4,1190,307.34,6
Tablet,Electronics,1108.01,1.36,Air,4,2633,248.8,6
Hard Drive,Storage,1209.22,1.08,Air,4,2395,255.34,6
Refrigerator,Home Appliances,1373.79,48.29,Road,1,559,1001.1,5
Camera,Gadgets,930.12,4.26,Rail,2,2706,117.01,5
Speaker,Accessories,810.85,2.25,Road,1,2152,88.64,3
Smart Watch,Gadgets,1297.92,0.45,Road,4,2916,130.0,8
Keyboard,Accessories,710.81,1.74,Road,5,5867,76.59,7
Speaker,Accessories,1404.13,1.3,Rail,5,4383,117.53,10
Headphones,Accessories,348.71,1.6,Air,3,6113,85.74,4
Mobile Phone,Electronics,1714.58,3.47,Rail,5,4302,164.93,11
Mouse,Accessories,1436.3,1.45,Air,5,3197,301.76,7
Refrigerator,Home Appliances,1328.01,10.1,Road,2,328,309.29,6
SSD,Storage,1691.35,0.5,Road,5,1979,165.37,10
Refrigerator,Home Appliances,2032.74,55.73,Sea,1,863,798.86,13
Tablet,Electronics,1707.19,3.42,Air,5,3835,409.84,8
Headphones,Accessories,279.56,2.03,Air,1,6232,76.21,1
SSD,Storage,560.21,1.46,Air,4,1945,130.29,5
SSD,Storage,887.59,1.23,Rail,1,2555,77.16,4
Headphones,Accessories,1213.05,0.66,Air,3,3732,249.21,5
Mouse,Accessories,1458.83,0.64,Road,1,3886,143.12,5
Refrigerator,Home Appliances,837.13,45.45,Road,4,1181,898.46,6
Mouse,Accessories,1293.38,2.01,Road,2,2353,133.81,6
Mouse,Accessories,822.31,0.58,Road,5,3203,81.73,7
Mobile Phone,Electronics,894.24,1.4,Air,4,3954,206.85,6
Smart Watch,Gadgets,496.67,0.39,Road,3,851,52.36,4
Headphones,Accessories,738.38,1.9,Road,4,3397,80.0,6
Headphones,Accessories,524.16,1.88,Road,2,6184,59.34,3
Hard Drive,Storage,712.06,1.14,Air,4,2943,156.66,5
Camera,Gadgets,1726.82,1.38,Air,1,567,379.86,4
Headphones,Accessories,725.3,2.51,Road,2,5898,81.68,4
Smart Watch,Gadgets,2516.19,0.48,Road,5,981,247.31,12
Monitor,Electronics,1446.66,2.81,Rail,5,4889,138.21,10
Monitor,Electronics,1292.42,2.33,Air,1,4357,305.08,3
Drone,Gadgets,770.82,1.38,Rail,4,1935,75.47,7
Smart Watch,Gadgets,1550.15,4.57,Rail,5,900,169.71,11
Microwave,Home Appliances,912.18,21.23,Road,1,780,469.71,4
Smart Watch,Gadgets,1261.0,2.22,Air,1,2867,307.7,3
Camera,Gadgets,2480.04,2.74,Air,2,1793,564.51,6
Refrigerator,Home Appliances,1151.97,13.54,Road,5,719,354.31,8
SSD,Storage,1774.64,0.93,Road,4,1334,175.95,9
TV,Home Appliances,848.41,48.76,Road,3,1345,959.13,5
Drone,Gadgets,1182.51,1.49,Air,3,2130,273.75,5
Keyboard,Accessories,2085.4,2.29,Road,2,2821,211.19,8
Headphones,Accessories,886.52,2.4,Rail,5,2426,80.52,8
Headphones,Accessories,2106.22,2.9,Air,1,3190,450.24,5
TV,Home Appliances,1553.88,30.64,Road,2,959,700.69,6
Laptop,Electronics,918.77,3.04,Rail,4,4014,97.82,7
Drone,Gadgets,1516.2,3.64,Road,2,2524,189.24,6
Microwave,Home Appliances,1686.28,18.49,Road,5,785,494.7,10
Keyboard,Accessories,1510.9,2.4,Road,2,3388,156.57,6
Tablet,Electronics,414.89,1.34,Air,2,1855,109.78,3
SSD,Storage,836.43,0.66,Air,5,1320,175.54,6
Camera,Gadgets,1076.24,3.76,Air,1,2751,309.25,3
SSD,Storage,1162.78,0.65,Rail,2,2983,96.27,6
Headphones,Accessories,1510.34,2.8,Road,3,3433,158.43,7
TV,Home Appliances,1288.85,13.54,Air,3,896,765.52,5
Tablet,Electronics,532.33,3.57,Rail,5,2524,71.15,7
Refrigerator,Home Appliances,1390.1,37.28,Rail,3,1139,670.41,8
TV,Home Appliances,1505.29,52.83,Road,3,338,1095.45,7
TV,Home Appliances,1479.9,49.01,Road,2,846,1024.25,6
Refrigerator,Home Appliances,1740.39,34.86,Road,3,708,794.56,8
Hard Drive,Storage,1616.96,0.72,Road,3,811,159.55,8
Camera,Gadgets,1429.59,2.54,Air,5,1602,349.42,7
Mouse,Accessories,1164.92,1.6,Air,2,4174,248.98,4
Mouse,Accessories,369.52,0.77,Air,5,4916,81.6,6
Keyboard,Accessories,1414.81,0.54,Air,4,2054,288.36,6
Camera,Gadgets,1303.84,4.29,Air,3,2516,368.02,5
Drone,Gadgets,1335.79,2.61,Rail,5,1647,132.96,10
Microwave,Home Appliances,561.63,47.01,Road,5,1066,900.1,7
TV,Home Appliances,659.47,9.69,Air,2,1136,495.27,3
Monitor,Electronics,1726.58,1.6,Air,2,3054,377.32,5
Camera,Gadgets,1180.22,1.83,Road,3,1266,135.26,6
Drone,Gadgets,1540.75,1.41,Road,5,1905,164.83,9
Hard Drive,Storage,1214.16,0.85,Air,3,1995,253.46,5
Refrigerator,Home Appliances,1214.88,31.44,Rail,5,668,568.79,10
Tablet,Electronics,1669.14,3.31,Road,4,2303,192.01,9
Mouse,Accessories,941.98,1.52,Air,4,6092,203.6,6
Speaker,Accessories,1248.06,2.4,Air,5,6651,273.61,7
Monitor,Electronics,968.86,0.85,Air,2,4833,210.77,4
SSD,Storage,982.75,1.29,Air,3,1564,212.68,5
SSD,Storage,1045.41,0.93,Rail,3,1909,88.28,7
Monitor,Electronics,1311.07,0.92,Rail,5,2314,112.25,10
Smart Watch,Gadgets,960.63,3.35,Road,3,1954,132.42,6
SSD,Storage,1827.88,1.21,Road,1,2060,182.74,6
Drone,Gadgets,752.7,2.48,Rail,2,1881,85.02,5
TV,Home Appliances,1106.56,39.84,Road,1,362,823.35,4
Speaker,Accessories,980.13,0.84,Air,3,4191,204.43,5
Smart Watch,Gadgets,1923.49,2.16,Rail,3,2904,175.48,10
Drone,Gadgets,1298.28,2.25,Air,1,1012,315.91,3
Speaker,Accessories,1715.92,2.83,Road,1,3725,178.31,6
Headphones,Accessories,457.22,0.49,Air,4,6492,96.34,5
Laptop,Electronics,1333.53,3.2,Road,1,1925,158.74,5
Hard Drive,Storage,1644.82,0.31,Rail,4,1767,133.14,10
Mouse,Accessories,1241.14,2.27,Road,2,3075,130.05,6
Camera,Gadgets,1732.74,0.43,Road,3,2450,171.5,8
TV,Home Appliances,941.36,56.61,Rail,2,1304,924.46,5
Headphones,Accessories,1904.67,1.97,Road,5,5563,192.3,10
Smart Watch,Gadgets,2349.45,3.31,Air,3,2472,552.64,7
Camera,Gadgets,1018.58,4.08,Road,3,2188,146.74,6
Hard Drive,Storage,977.25,0.59,Air,2,1908,202.83,4
SSD,Storage,1926.69,0.9,Road,4,2454,190.36,10
Hard Drive,Storage,1989.79,1.2,Road,5,1447,198.22,11
Tablet,Electronics,938.57,1.16,Rail,4,3116,84.37,7
Mouse,Accessories,989.91,2.2,Road,4,3807,105.59,7
Hard Drive,Storage,1059.11,0.75,Air,5,1613,221.2,7
SSD,Storage,527.77,0.74,Rail,2,1059,45.92,4
